,article_url
0,https://seekingalpha.com/article/3987543-pokemon-rush-buy-nintendo
1,https://seekingalpha.com/article/3987533-2_69-p-e-ratio-american-airlines-screaming-buy
2,https://seekingalpha.com/article/3987486-mgt-capital-dilution-ahead
3,https://seekingalpha.com/article/3987478-wal-marts-shipping-pass-help-beat-amazon
4,https://seekingalpha.com/article/3987381-dear-pricewaterhousecoopers-llp-top-10-tesla-list
5,https://seekingalpha.com/article/3987416-tesla-needs-secret-master-plan-profitability
6,https://seekingalpha.com/article/3987382-tesla-bear-defends-autopilot-death-not-material
7,https://seekingalpha.com/article/3987384-apple-heading-weak-quarter-downside-risk-prevails
8,https://seekingalpha.com/article/3987380-amds-graphics-troubles
9,https://seekingalpha.com/article/3987378-chipotles-third-strike-anecdotal-stories-illnesses-highlight-risk-corporate-shortcomings
10,https://seekingalpha.com/article/3987333-recent-bullishness-companhia-siderurgica-nacional-unlikely-sustain
11,https://seekingalpha.com/article/3987296-genesee-and-wyoming-47-percent-overvalued
12,https://seekingalpha.com/article/3987090-finish-line-still-looks-like-potential-short
13,https://seekingalpha.com/article/3987248-take-profits-paramount-gold-nevada
14,https://seekingalpha.com/article/3987240-wingstop-sell-buying-opportunity
15,https://seekingalpha.com/article/3987224-tesla-red-river
16,https://seekingalpha.com/article/3987196-will-amazon-eat-ebays-lunch
17,https://seekingalpha.com/article/3987195-gilead-massachusetts-ag-reels-big-fish
18,https://seekingalpha.com/article/3987131-tesla-financial-planning-depending-kindness-strangers
19,https://seekingalpha.com/article/3986983-time-buy-apple-fast
20,https://seekingalpha.com/article/3986901-tesla-misses-point-fortune-autopilot-story
21,https://seekingalpha.com/article/3986879-tesla-executive-exodus-red-flags
22,https://seekingalpha.com/article/3986849-herbalife-get-dodge
23,https://seekingalpha.com/article/3983804-pool-corporation-water-hazard
24,https://seekingalpha.com/article/3986705-disrupted-industries-secular-change-diminished-moats-fertile-ground-shorts-example-woolworths
25,https://seekingalpha.com/article/3986674-short-pepsi-rally-earnings
26,https://seekingalpha.com/article/3986603-tesla-continues-mislead-consumers
27,https://seekingalpha.com/article/3986544-hanesbrands-headwinds-gaining-momentum
28,https://seekingalpha.com/article/3983255-blackbaud-beware
29,https://seekingalpha.com/article/3986379-tesla-rolls-away-apple-tree-part-2
30,https://seekingalpha.com/article/3986390-shorting-armour-good-summer-fling
31,https://seekingalpha.com/article/3986371-tesla-rivers-red-ink-coming
32,https://seekingalpha.com/article/3983414-4-moats-chipotle-breached-minimum-24-percent-downside
33,https://seekingalpha.com/article/3986345-gotta-kidding-now-market-cares-fundamentals-netflix
34,https://seekingalpha.com/article/3986317-instagram-sees-posts-slowing
35,https://seekingalpha.com/article/3986309-tesla-manufacturing-still-beta-test
36,https://seekingalpha.com/article/3986308-yes-tesla-demand-really-hit-wall-montana-skeptic-mugs-prove
37,https://seekingalpha.com/article/3986304-detailed-view-tesla-autopilot-fatality
38,https://seekingalpha.com/article/3986303-tesla-issues-2016-warning
39,https://seekingalpha.com/article/3986290-tesla-will-likely-face-serious-reputational-financial-damage-autopilot-failures
40,https://seekingalpha.com/article/3986270-time-quarterly-ibm-head-fake
41,https://seekingalpha.com/article/3986262-general-mills-will-bubble-pop
42,https://seekingalpha.com/article/3982732-nvidia-weighing-sides
43,https://seekingalpha.com/article/3986234-general-mills-headed-backwards
44,https://seekingalpha.com/article/3986196-deere-and-company-28-percent-downside
45,https://seekingalpha.com/article/3986176-lincoln-electric-benefiting-underperforming-industry
46,https://seekingalpha.com/article/3986157-netflix-model-judge-strategic-financial-assumptions-currently-priced-market
47,https://seekingalpha.com/article/3983096-obsolescence-case-oreilly-automotive
48,https://seekingalpha.com/article/3986122-tesla-shareholders-offended
49,https://seekingalpha.com/article/3986078-eros-stock-bump-lack-cash-generation-makes-attractive-short
50,https://seekingalpha.com/article/3986076-donald-make-rocket-fuel-great
51,https://seekingalpha.com/article/3986008-m-and-ts-ccar-embarrassment-highlights-serious-issues
52,https://seekingalpha.com/article/3985966-wrong-time-buy-macys
